,country_id,latitude,longitude,bright_ti4,bright_ti5,scan,track,acq_date,acq_time,frp,daynight
0,AUT,47.34311,9.62378,328.5,290.2,0.53,0.42,2020-03-01,1230,4.4,D
1,AUT,47.54527,9.78854,331.0,287.0,0.54,0.42,2020-03-01,1230,5.0,D
2,AUT,47.54559,9.78841,329.3,286.5,0.54,0.42,2020-03-01,1230,3.7,D
3,AUT,48.27758,14.34202,331.8,276.3,0.59,0.53,2020-03-01,1230,3.8,D
4,AUT,48.27502,14.33618,300.4,279.2,0.58,0.7,2020-06-01,218,1.9,N
5,AUT,48.27231,14.33804,338.7,308.0,0.48,0.4,2020-06-01,1206,8.5,D
6,AUT,48.27595,14.33717,344.4,301.7,0.48,0.4,2020-06-01,1206,8.5,D
7,AUT,48.28156,14.32667,334.1,297.8,0.48,0.4,2020-06-01,1206,3.4,D
8,AUT,48.28253,14.32903,335.9,299.0,0.48,0.4,2020-06-01,1206,5.1,D
9,AUT,48.26442,14.33486,296.9,269.3,0.4,0.6,2020-12-01,6,2.2,N
10,AUT,48.27538,14.34118,307.4,270.6,0.4,0.6,2020-12-01,6,3.9,N
11,AUT,48.27555,14.33572,345.2,274.1,0.4,0.6,2020-12-01,6,3.6,N
12,AUT,48.27573,14.33024,302.8,271.1,0.4,0.6,2020-12-01,6,3.6,N
13,AUT,48.28076,14.34711,295.6,272.6,0.4,0.6,2020-12-01,6,1.5,N
14,AUT,48.28112,14.33612,295.6,273.3,0.4,0.6,2020-12-01,6,1.4,N
15,AUT,48.26342,14.32548,308.8,267.8,0.54,0.5,2020-12-01,148,1.4,N
16,AUT,48.2636,14.32713,313.4,268.3,0.54,0.51,2020-12-01,148,3.0,N
17,AUT,48.27405,14.32548,295.2,270.0,0.54,0.5,2020-12-01,148,1.0,N
18,AUT,48.27467,14.33993,335.8,272.4,0.54,0.51,2020-12-01,148,7.9,N
19,AUT,48.27647,14.33316,339.7,275.4,0.54,0.5,2020-12-01,148,13.7,N
20,AUT,48.27723,14.34929,328.0,272.5,0.54,0.51,2020-12-01,148,2.7,N
21,AUT,48.27902,14.34251,296.9,270.0,0.54,0.51,2020-12-01,148,2.7,N
22,AUT,48.27318,14.33954,334.4,270.9,0.41,0.37,2020-12-01,1136,3.6,D
23,AUT,48.2765,14.33819,331.8,271.4,0.41,0.37,2020-12-01,1136,3.6,D
24,AUT,48.26915,14.32676,302.95,268.16,0.41,0.37,2022-03-01,117,1.65,N
25,AUT,48.27348,14.32272,324.9,270.04,0.41,0.37,2022-03-01,117,1.65,N
26,AUT,48.2738,14.34038,327.6,274.02,0.41,0.37,2022-03-01,117,9.37,N
27,AUT,48.2748,14.33495,324.3,272.48,0.41,0.37,2022-03-01,117,9.37,N
28,AUT,48.27581,14.32952,298.33,273.33,0.41,0.37,2022-03-01,117,0.89,N
29,AUT,48.27612,14.3472,313.86,270.6,0.41,0.37,2022-03-01,117,1.8,N
30,AUT,48.27681,14.3241,302.7,271.67,0.41,0.37,2022-03-01,117,0.89,N
31,AUT,48.27813,14.33634,331.72,279.87,0.41,0.37,2022-03-01,117,9.37,N
